Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_BL;BL_NumAssets
2019-01-01;LINDE PLC ORD;IE000S9YS762;74973396989.0;85.4764;A;Basic Materials;DAX;2019-01-02;2019-12-31;True;Top;8;0.06347369679201645;10
2019-01-01;MERCK ORD;DE0006599905;39121313462.0;85.0224;A;Healthcare;DAX;2019-01-02;2019-12-31;True;Top;9;1.534440545605512e-17;10
2019-01-01;SIEMENS ORD;DE0007236101;74616548750.0;83.3937;A;Industrials;DAX;2019-01-02;2019-12-31;True;Top;10;0.0;10
2020-01-01;WIRECARD ORD;DE0007472060;13332726729.0;27.4035;C-;Industrials;DAX;2020-01-02;2020-12-31;True;Bottom;1;0.0;10
2020-01-01;BEIERSDORF ORD;DE0005200000;26875800000.0;64.5257;B;Consumer Non-Cyclicals;DAX;2020-01-02;2020-12-31;True;Bottom;2;1.1329912702473521e-17;10
2020-01-01;RWE ST A ORD;DE0007037129;16813289398.0;65.4525;B;Utilities;DAX;2020-01-02;2020-12-31;True;Bottom;3;1.2319247184866544e-17;10
2020-01-01;LUFTHANSA ORD;DE0008232125;7847164427.0;71.0515;B+;Industrials;DAX;2020-01-02;2020-12-31;True;Bottom;4;0.022196826213573474;10
2020-01-01;VONOVIA SE;DE000A1ML7J1;26029124679.0;72.7996;B+;Real Estate;DAX;2020-01-02;2020-12-31;True;Bottom;5;0.17931538458284552;10
2020-01-01;E.ON ORD;DE000ENAG999;25155920251.0;73.4225;B+;Utilities;DAX;2020-01-02;2020-12-31;True;Bottom;6;0.23700687387342753;10
2020-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;26628500000.0;74.2471;B+;Financials;DAX;2020-01-02;2020-12-31;True;Bottom;7;0.1733233302786241;10
2020-01-01;COVESTRO ORD;DE0006062144;7563390000.0;74.2806;B+;Basic Materials;DAX;2020-01-02;2020-12-31;True;Bottom;8;0.025501279392696804;10
2020-01-01;HEIDELBGCEMENT ORD;DE0006047004;12889134346.0;75.7116;A-;Basic Materials;DAX;2020-01-02;2020-12-31;True;Bottom;9;0.14654639592932572;10
2020-01-01;HENKEL& KGAA PRF;DE0006048432;38249470575.0;75.9373;A-;Basic Materials;DAX;2020-01-02;2020-12-31;True;Bottom;10;0.21610990972950686;10
2020-01-01;SAP SE ORD;DE0007164600;147000000000.0;94.243;A+;Technology;DAX;2020-01-02;2020-12-31;True;Top;1;0.26254275190800547;10
2020-01-01;ALLIANZ SE ORD;DE0008404005;91110552406.0;93.7751;A+;Financials;DAX;2020-01-02;2020-12-31;True;Top;2;0.7374572480919945;10
2020-01-01;DAIMLER ORD;DE0007100000;44237558047.0;92.7205;A+;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;3;1.8161457419589024e-17;10
2020-01-01;BASF SE ORD;DE000BASF111;61859540041.0;90.1139;A;Basic Materials;DAX;2020-01-02;2020-12-31;True;Top;4;0.0;10
2020-01-01;BAYER AG;DE000BAY0017;71530297410.0;89.8762;A;Healthcare;DAX;2020-01-02;2020-12-31;True;Top;5;0.0;10
2020-01-01;ADIDAS ORD;DE000A1EWWW0;58080610703.0;89.8096;A;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;6;0.0;10
2020-01-01;BMW AG;DE0005190003;47160473721.0;87.4807;A;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;7;0.0;10
