Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_RP;RP_NumAssets
2019-01-01;ADIDAS ORD;DE000A1EWWW0;36555912326.0;86.2059;A;Consumer Cyclicals;DAX;2019-01-02;2019-12-31;True;Top;6;0.08691195847714278;10
2019-01-01;MUNICH RE ORD;DE0008430026;28494556792.0;85.6971;A;Financials;DAX;2019-01-02;2019-12-31;True;Top;7;0.11847889334333757;10
2019-01-01;LINDE PLC ORD;IE000S9YS762;74973396989.0;85.4764;A;Basic Materials;DAX;2019-01-02;2019-12-31;True;Top;8;0.13233716485649413;10
2019-01-01;MERCK ORD;DE0006599905;39121313462.0;85.0224;A;Healthcare;DAX;2019-01-02;2019-12-31;True;Top;9;0.11217331163619863;10
2019-01-01;SIEMENS ORD;DE0007236101;74616548750.0;83.3937;A;Industrials;DAX;2019-01-02;2019-12-31;True;Top;10;0.09732245869199395;10
2020-01-01;WIRECARD ORD;DE0007472060;13332726729.0;27.4035;C-;Industrials;DAX;2020-01-02;2020-12-31;True;Bottom;1;0.04146005396140188;10
2020-01-01;BEIERSDORF ORD;DE0005200000;26875800000.0;64.5257;B;Consumer Non-Cyclicals;DAX;2020-01-02;2020-12-31;True;Bottom;2;0.12580680509611344;10
2020-01-01;RWE ST A ORD;DE0007037129;16813289398.0;65.4525;B;Utilities;DAX;2020-01-02;2020-12-31;True;Bottom;3;0.09849374542749859;10
2020-01-01;LUFTHANSA ORD;DE0008232125;7847164427.0;71.0515;B+;Industrials;DAX;2020-01-02;2020-12-31;True;Bottom;4;0.08369904056246769;10
2020-01-01;VONOVIA SE;DE000A1ML7J1;26029124679.0;72.7996;B+;Real Estate;DAX;2020-01-02;2020-12-31;True;Bottom;5;0.1353973410614209;10
2020-01-01;E.ON ORD;DE000ENAG999;25155920251.0;73.4225;B+;Utilities;DAX;2020-01-02;2020-12-31;True;Bottom;6;0.13915474714846796;10
2020-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;26628500000.0;74.2471;B+;Financials;DAX;2020-01-02;2020-12-31;True;Bottom;7;0.10754788340869842;10
2020-01-01;COVESTRO ORD;DE0006062144;7563390000.0;74.2806;B+;Basic Materials;DAX;2020-01-02;2020-12-31;True;Bottom;8;0.07082057806906181;10
2020-01-01;HEIDELBGCEMENT ORD;DE0006047004;12889134346.0;75.7116;A-;Basic Materials;DAX;2020-01-02;2020-12-31;True;Bottom;9;0.09741673977372799;10
2020-01-01;HENKEL& KGAA PRF;DE0006048432;38249470575.0;75.9373;A-;Basic Materials;DAX;2020-01-02;2020-12-31;True;Bottom;10;0.10020306549114136;10
2020-01-01;SAP SE ORD;DE0007164600;147000000000.0;94.243;A+;Technology;DAX;2020-01-02;2020-12-31;True;Top;1;0.09576972530743189;10
2020-01-01;ALLIANZ SE ORD;DE0008404005;91110552406.0;93.7751;A+;Financials;DAX;2020-01-02;2020-12-31;True;Top;2;0.13384319381551577;10
2020-01-01;DAIMLER ORD;DE0007100000;44237558047.0;92.7205;A+;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;3;0.07233471004977485;10
2020-01-01;BASF SE ORD;DE000BASF111;61859540041.0;90.1139;A;Basic Materials;DAX;2020-01-02;2020-12-31;True;Top;4;0.08352261295035063;10
2020-01-01;BAYER AG;DE000BAY0017;71530297410.0;89.8762;A;Healthcare;DAX;2020-01-02;2020-12-31;True;Top;5;0.07511009421071797;10
2020-01-01;ADIDAS ORD;DE000A1EWWW0;58080610703.0;89.8096;A;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;6;0.10436613601302999;10
2020-01-01;BMW AG;DE0005190003;47160473721.0;87.4807;A;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;7;0.0892322623102399;10
2020-01-01;VOLKSWAGEN PRF;DE0007664039;87465958595.0;86.8302;A;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;8;0.08163714570123254;10
2020-01-01;DEUTSCHE POST ORD;DE0005552004;42053594874.0;86.2508;A;Industrials;DAX;2020-01-02;2020-12-31;True;Top;9;0.10444473696728442;10
2020-01-01;MERCK ORD;DE0006599905;45803849447.0;85.6945;A;Healthcare;DAX;2020-01-02;2020-12-31;True;Top;10;0.15973938267442217;10
2021-01-01;E.ON ORD;DE000ENAG999;23940913603.0;66.4716;B;Utilities;DAX;2021-01-04;2021-12-31;True;Bottom;1;0.12559920509584127;10
2021-01-01;BEIERSDORF ORD;DE0005200000;23798880000.0;66.982;B+;Consumer Non-Cyclicals;DAX;2021-01-04;2021-12-31;True;Bottom;2;0.1437351839585682;10
2021-01-01;RWE ST A ORD;DE0007037129;23376927059.0;67.4966;B+;Utilities;DAX;2021-01-04;2021-12-31;True;Bottom;3;0.09174631636826694;10
2021-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;26457500000.0;74.5788;B+;Financials;DAX;2021-01-04;2021-12-31;True;Bottom;4;0.1023725673497814;10
2021-01-01;INFINEON TECHNOLOGIES ORD;DE0006231004;40992864490.0;76.4556;A-;Technology;DAX;2021-01-04;2021-12-31;True;Bottom;5;0.06659884038024072;10
2021-01-01;CONTINENTAL ORD;DE0005439004;16485736356.0;77.7577;A-;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Bottom;6;0.06828266566111252;10
2021-01-01;HEIDELBGCEMENT ORD;DE0006047004;12147056722.0;81.1199;A-;Basic Materials;DAX;2021-01-04;2021-12-31;True;Bottom;7;0.07472390539183177;10
2021-01-01;FRESENIUS SE ORD;DE0005785604;21097347997.0;82.6721;A-;Healthcare;DAX;2021-01-04;2021-12-31;True;Bottom;8;0.08826412376722276;10
2021-01-01;HENKEL& KGAA PRF;DE0006048432;36929338106.0;82.876;A-;Basic Materials;DAX;2021-01-04;2021-12-31;True;Bottom;9;0.12431111386791653;10
2021-01-01;DEUTSCHE TELEKOM AG ORD;DE0005557508;71207613303.0;83.0746;A-;Technology;DAX;2021-01-04;2021-12-31;True;Bottom;10;0.11436607815921777;10
2021-01-01;SAP SE ORD;DE0007164600;131000000000.0;94.5184;A+;Technology;DAX;2021-01-04;2021-12-31;True;Top;1;0.11944807787080984;10
2021-01-01;ALLIANZ SE ORD;DE0008404005;82747230790.0;93.2874;A+;Financials;DAX;2021-01-04;2021-12-31;True;Top;2;0.08785262843411822;10
2021-01-01;DAIMLER ORD;DE0007100000;51782226107.0;93.1177;A+;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;3;0.0648767664175059;10
2021-01-01;BASF SE ORD;DE000BASF111;59443941076.0;91.926;A+;Basic Materials;DAX;2021-01-04;2021-12-31;True;Top;4;0.0919551241009114;10
2021-01-01;BAYER AG;DE000BAY0017;47308631669.0;89.9633;A;Healthcare;DAX;2021-01-04;2021-12-31;True;Top;5;0.10538170857390643;10
2021-01-01;MUNICH RE ORD;DE0008430026;34016020447.0;88.6884;A;Financials;DAX;2021-01-04;2021-12-31;True;Top;6;0.08569241490694822;10
2021-01-01;ADIDAS ORD;DE000A1EWWW0;59703981809.0;88.4878;A;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;7;0.10717513415826015;10
2021-01-01;VOLKSWAGEN PRF;DE0007664039;81624611969.0;87.8512;A;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;8;0.07259134129399443;10
2021-01-01;BMW AG;DE0005190003;46621188188.0;86.7145;A;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;9;0.0878891849637806;10
2021-01-01;VONOVIA SE;DE000A1ML7J1;33817413946.0;85.9634;A;Real Estate;DAX;2021-01-04;2021-12-31;True;Top;10;0.17713761927976487;10
2022-01-01;PORSCHE SE VZ PRF;DE000PAH0038;25553500000.0;9.0379;D;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;1;0.06806060703566193;10
2022-01-01;BRENNTAG ORD;DE000A1DAHH0;12295110000.0;56.1129;B-;Basic Materials;DAX;2022-01-03;2022-12-30;True;Bottom;2;0.11607396001219683;10
2022-01-01;HELLOFRESH SEORD;DE000A161408;11748061456.0;66.604;B;Consumer Non-Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;3;0.05616782038037713;10
2022-01-01;E.ON ORD;DE000ENAG999;32202958810.0;67.6836;B+;Utilities;DAX;2022-01-03;2022-12-30;True;Bottom;4;0.13147736489295656;10
2022-01-01;RWE ST A ORD;DE0007037129;24154580115.0;68.3555;B+;Utilities;DAX;2022-01-03;2022-12-30;True;Bottom;5;0.08196687050134452;10
2022-01-01;BEIERSDORF ORD;DE0005200000;22775760000.0;68.91;B+;Consumer Non-Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;6;0.15620608374201767;10
2022-01-01;ZALANDO ORD SHS;DE000ZAL1111;18639479258.0;70.736;B+;Technology;DAX;2022-01-03;2022-12-30;True;Bottom;7;0.0618482144476972;10
2022-01-01;SIEMENS HEALTHINEERS AG ORD;DE000SHL1006;74244960000.0;74.5668;B+;Healthcare;DAX;2022-01-03;2022-12-30;True;Bottom;8;0.11277838051334492;10
2022-01-01;CONTINENTAL ORD;DE0005439004;14157016894.0;74.8853;B+;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;9;0.0972430521349205;10
2022-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;27949000000.0;75.9843;A-;Financials;DAX;2022-01-03;2022-12-30;True;Bottom;10;0.11817764633948279;10
2022-01-01;SAP SE ORD;DE0007164600;153000000000.0;93.7388;A+;Technology;DAX;2022-01-03;2022-12-30;True;Top;1;0.10104058462386671;10
2022-01-01;BAYER AG;DE000BAY0017;46173931854.0;92.7449;A+;Healthcare;DAX;2022-01-03;2022-12-30;True;Top;2;0.0891264531034377;10
2022-01-01;DAIMLER AG ORD;DE0007100000;72310313043.0;91.7857;A+;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Top;3;0.07680769321933757;10
2022-01-01;ALLIANZ SE ORD;DE0008404005;84816277328.0;91.0608;A;Financials;DAX;2022-01-03;2022-12-30;True;Top;4;0.09938895891751791;10
2022-01-01;BASF SE ORD;DE000BASF111;56743613715.0;90.7225;A;Basic Materials;DAX;2022-01-03;2022-12-30;True;Top;5;0.08902812513257251;10
2022-01-01;ADIDAS ORD;DE000A1EWWW0;48639720000.0;89.8495;A;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Top;6;0.07693794538062174;10
2022-01-01;BMW AG;DE0005190003;57499180877.0;89.7912;A;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Top;7;0.07570879122064086;10
2022-01-01;MERCK ORD;DE0006599905;98694578306.0;86.5125;A;Healthcare;DAX;2022-01-03;2022-12-30;True;Top;8;0.16148256244906756;10
2022-01-01;DEUTSCHE TELEKOM AG ORD;DE0005557508;81279275115.0;86.4699;A;Technology;DAX;2022-01-03;2022-12-30;True;Top;9;0.10146350100292026;10
2022-01-01;FRESENIUS MEDICAL CARE ORD;DE0005785802;16742267930.0;86.1184;A;Healthcare;DAX;2022-01-03;2022-12-30;True;Top;10;0.12901538495001705;10
2023-01-01;PORSCHE SE VZ PRF;DE000PAH0038;15692250000.0;10.8454;D;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Bottom;1;0.07021725296800391;10
2023-01-01;BRENNTAG ORD;DE000A1DAHH0;9226740000.0;61.7025;B;Basic Materials;DAX;2023-01-02;2023-12-29;True;Bottom;2;0.08721783373340253;10
2023-01-01;RWE ST A ORD;DE0007037129;28123991796.0;62.1557;B;Utilities;DAX;2023-01-02;2023-12-29;True;Bottom;3;0.10573574728948652;10
2023-01-01;E.ON ORD;DE000ENAG999;24654069679.0;65.3219;B;Utilities;DAX;2023-01-02;2023-12-29;True;Bottom;4;0.10573927220622242;10
2023-01-01;BEIERSDORF ORD;DE0005200000;27014400000.0;66.2686;B;Consumer Non-Cyclicals;DAX;2023-01-02;2023-12-29;True;Bottom;5;0.14811300274887745;10
2023-01-01;ZALANDO ORD SHS;DE000ZAL1111;8725533660.0;68.2408;B+;Technology;DAX;2023-01-02;2023-12-29;True;Bottom;6;0.045958914766140266;10
2023-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;30666000000.0;72.0559;B+;Financials;DAX;2023-01-02;2023-12-29;True;Bottom;7;0.17498550938698093;10
2023-01-01;FRESENIUS SE ORD;DE0005785604;14784978521.0;73.0151;B+;Healthcare;DAX;2023-01-02;2023-12-29;True;Bottom;8;0.10706987542864159;10
2023-01-01;SIEMENS ENERGY AG ORD;DE000ENER6Y0;12770789267.0;73.818;B+;Energy;DAX;2023-01-02;2023-12-29;True;Bottom;9;0.07805620706822586;10
2023-01-01;DEUTSCHE POST ORD;DE0005552004;43590110009.0;74.0891;B+;Industrials;DAX;2023-01-02;2023-12-29;True;Bottom;10;0.07690638440401838;10
2023-01-01;BAYER AG;DE000BAY0017;47475643763.0;92.7709;A+;Healthcare;DAX;2023-01-02;2023-12-29;True;Top;1;0.11543245191900155;10
2023-01-01;BMW AG;DE0005190003;54919971826.0;92.3719;A+;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Top;2;0.08435694420126418;10
2023-01-01;MERCEDES-BENZ GROUP AG ORD;DE0007100000;65688019246.0;90.5796;A;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Top;3;0.07355993682614725;10
2023-01-01;BASF SE ORD;DE000BASF111;41465930156.0;90.1569;A;Basic Materials;DAX;2023-01-02;2023-12-29;True;Top;4;0.07627534257340003;10
2023-01-01;SAP SE ORD;DE0007164600;118000000000.0;89.5104;A;Technology;DAX;2023-01-02;2023-12-29;True;Top;5;0.11764439461397481;10
2023-01-01;ALLIANZ SE ORD;DE0008404005;81025781796.0;88.7551;A;Financials;DAX;2023-01-02;2023-12-29;True;Top;6;0.1062576384451894;10
2023-01-01;ADIDAS ORD;DE000A1EWWW0;22942800000.0;88.5579;A;Consumer Cyclicals;DAX;2023-01-02;2023-12-29;True;Top;7;0.06470000712723643;10
2023-01-01;MUNICH RE ORD;DE0008430026;42590075024.0;87.6418;A;Financials;DAX;2023-01-02;2023-12-29;True;Top;8;0.10546783191588913;10
2023-01-01;MERCK ORD;DE0006599905;78651318130.0;85.888;A;Healthcare;DAX;2023-01-02;2023-12-29;True;Top;9;0.10922790572103117;10
2023-01-01;DEUTSCHE TELEKOM AG ORD;DE0005557508;92937615312.0;85.7949;A;Technology;DAX;2023-01-02;2023-12-29;True;Top;10;0.1470775466568661;10
