Period;Index;PortfolioSide;Strategy;NumObservations;CumulativeReturn;AnnualisedReturn;AnnualisedVolatility;SharpeRatio;HistoricalVaR95;MaxDrawdown
2015-2024;SP100;Top;BuyHold_MCap_MinusBenchmark;2442;33.19;3.0;8.11;0.199;0.77;-21.38
2015-2024;SP100;TopMinusBottom;Annual_BlackLitterman;2264;46.91;4.37;16.63;0.229;1.61;-29.39
2015-2024;SP100;TopMinusBottom;Annual_Equal;2516;-31.83;-3.77;10.29;-0.484;1.0;-41.94
2015-2024;SP100;TopMinusBottom;Annual_MCap;2516;20.45;1.88;12.19;0.077;1.15;-24.57
2015-2024;SP100;TopMinusBottom;Annual_RiskParity;2264;-28.11;-3.61;10.11;-0.497;0.96;-33.21
2015-2024;SP100;TopMinusBottom;BuyHold_Equal;2516;-20.46;-2.27;10.24;-0.336;1.02;-37.83
2015-2024;SP100;TopMinusBottom;BuyHold_MCap;2516;-1.81;-0.18;12.14;-0.092;1.2;-28.47
2020-2024;DAX;Benchmark;Benchmark_Equal;1280;29.41;5.21;20.21;0.236;1.92;-39.09
2020-2024;DAX;Benchmark;Benchmark_MCap;1252;45.85;7.89;20.68;0.356;1.87;-38.78
2020-2024;DAX;Bottom;Annual_BlackLitterman;1275;6.47;1.25;17.2;0.021;1.68;-32.21
2020-2024;DAX;Bottom;Annual_BlackLitterman_MinusBenchmark;1252;-33.66;-7.93;12.61;-0.781;1.28;-43.9
2020-2024;DAX;Bottom;Annual_Equal;1275;-17.35;-3.7;19.48;-0.217;1.96;-34.71
2020-2024;DAX;Bottom;Annual_Equal_MinusBenchmark;1275;-37.63;-8.91;7.79;-1.462;0.79;-44.36
2020-2024;DAX;Bottom;Annual_MCap;1275;-8.76;-1.8;18.02;-0.141;1.85;-31.25
2020-2024;DAX;Bottom;Annual_MCap_MinusBenchmark;1252;-42.79;-10.63;10.63;-1.228;1.04;-52.51
2020-2024;DAX;Bottom;Annual_RiskParity;1275;-4.11;-0.83;17.78;-0.09;1.74;-32.34
2020-2024;DAX;Bottom;Annual_RiskParity_MinusBenchmark;1252;-39.79;-9.71;9.94;-1.218;0.98;-48.76
2020-2024;DAX;Bottom;BuyHold_Equal;1275;26.03;4.68;19.61;0.211;1.78;-38.81
2020-2024;DAX;Bottom;BuyHold_Equal_MinusBenchmark;1275;-5.37;-1.08;9.21;-0.329;0.92;-20.83
