Date;Index;PortfolioSide;Strategy;PortfolioReturn
2016-08-02;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0014064804841405053
2016-08-03;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0030297760034795973
2016-08-04;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00933573820345045
2016-08-05;DAX;TopMinusBottom;Annual_BlackLitterman;-0.010112355274338406
2016-08-08;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004074623709654713
2016-08-09;DAX;TopMinusBottom;Annual_BlackLitterman;-0.04293500106962034
2016-08-10;DAX;TopMinusBottom;Annual_BlackLitterman;0.023271264327337227
2016-08-11;DAX;TopMinusBottom;Annual_BlackLitterman;0.0032363945152674234
2016-08-12;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002042294359019226
2016-08-15;DAX;TopMinusBottom;Annual_BlackLitterman;0.00862518661759619
2016-08-16;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008029151895367959
2016-08-17;DAX;TopMinusBottom;Annual_BlackLitterman;0.010566028453352872
2016-08-18;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005517905708608257
2016-08-19;DAX;TopMinusBottom;Annual_BlackLitterman;0.0037039221723266834
2016-08-22;DAX;TopMinusBottom;Annual_BlackLitterman;-0.009229808223548632
2016-08-23;DAX;TopMinusBottom;Annual_BlackLitterman;-0.011922034962692726
2016-08-24;DAX;TopMinusBottom;Annual_BlackLitterman;-0.003199082859974926
2016-08-25;DAX;TopMinusBottom;Annual_BlackLitterman;0.0036858724998540503
2016-08-26;DAX;TopMinusBottom;Annual_BlackLitterman;0.010250558619231919
2016-08-29;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0016606123793987994
2016-08-30;DAX;TopMinusBottom;Annual_BlackLitterman;0.002458152787222336
2016-08-31;DAX;TopMinusBottom;Annual_BlackLitterman;-0.02229330659797072
2016-09-01;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00317397744524246
2016-09-02;DAX;TopMinusBottom;Annual_BlackLitterman;-0.015450113205548998
2016-09-05;DAX;TopMinusBottom;Annual_BlackLitterman;0.008686685824731396
2016-09-06;DAX;TopMinusBottom;Annual_BlackLitterman;-9.312144974000028e-05
2016-09-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.0032985314297145725
2016-09-08;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01464809005263997
2016-09-09;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01961507436424225
2016-09-12;DAX;TopMinusBottom;Annual_BlackLitterman;0.015323835979271281
2016-09-13;DAX;TopMinusBottom;Annual_BlackLitterman;0.010947196807610658
2016-09-14;DAX;TopMinusBottom;Annual_BlackLitterman;0.0072386379004054455
2016-09-15;DAX;TopMinusBottom;Annual_BlackLitterman;0.0033823170553538883
2016-09-16;DAX;TopMinusBottom;Annual_BlackLitterman;0.005969102740703168
2016-09-19;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01223788847641113
2016-09-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.002742565329136401
2016-09-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.0003073955583708047
2016-09-22;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0027819339146048887
2016-09-23;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00029557000439117296
2016-09-26;DAX;TopMinusBottom;Annual_BlackLitterman;0.0061055793594446475
2016-09-27;DAX;TopMinusBottom;Annual_BlackLitterman;0.004999205767121346
2016-09-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.014329203477507354
2016-09-29;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0013047388141675179
2016-09-30;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004540324994912122
2016-10-04;DAX;TopMinusBottom;Annual_BlackLitterman;0.0195833550735882
2016-10-05;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008225627238188857
2016-10-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0007061216922720761
2016-10-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.002714286725578185
2016-10-10;DAX;TopMinusBottom;Annual_BlackLitterman;-0.006144836183975041
2016-10-11;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01611080951743212
2016-10-12;DAX;TopMinusBottom;Annual_BlackLitterman;-0.010492367763978192
2016-10-13;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0011137059996292956
2016-10-14;DAX;TopMinusBottom;Annual_BlackLitterman;-0.007081963360436747
2016-10-17;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0008374233630177828
2016-10-18;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008016795778903438
2016-10-19;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0028138054924286126
2016-10-20;DAX;TopMinusBottom;Annual_BlackLitterman;-0.009783838392733547
2016-10-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.001954335844827687
2016-10-24;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01437403001385928
2016-10-25;DAX;TopMinusBottom;Annual_BlackLitterman;-0.013736300277523691
2016-10-26;DAX;TopMinusBottom;Annual_BlackLitterman;-0.009526059800474575
2016-10-27;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004192095823732694
2016-10-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.01091834541291202
2016-10-31;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0032624662971134054
2016-11-01;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008637844196253611
2016-11-02;DAX;TopMinusBottom;Annual_BlackLitterman;0.009172361469046672
2016-11-03;DAX;TopMinusBottom;Annual_BlackLitterman;-0.04196537311728121
2016-11-04;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005544120237186849
2016-11-07;DAX;TopMinusBottom;Annual_BlackLitterman;-3.8735063497295774e-05
2016-11-08;DAX;TopMinusBottom;Annual_BlackLitterman;0.002407719368351114
2016-11-09;DAX;TopMinusBottom;Annual_BlackLitterman;0.012076236289688716
2016-11-10;DAX;TopMinusBottom;Annual_BlackLitterman;-0.04382450269556487
2016-11-11;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0022661605117713815
2016-11-14;DAX;TopMinusBottom;Annual_BlackLitterman;0.005711399046462429
2016-11-15;DAX;TopMinusBottom;Annual_BlackLitterman;0.02299154328131759
2016-11-16;DAX;TopMinusBottom;Annual_BlackLitterman;0.01171176831312348
2016-11-17;DAX;TopMinusBottom;Annual_BlackLitterman;0.00165501651395146
2016-11-18;DAX;TopMinusBottom;Annual_BlackLitterman;0.009576110603935099
2016-11-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.00652839590974808
2016-11-22;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00539803732195577
2016-11-23;DAX;TopMinusBottom;Annual_BlackLitterman;0.004498853916868901
2016-11-24;DAX;TopMinusBottom;Annual_BlackLitterman;0.004303985845480442
2016-11-25;DAX;TopMinusBottom;Annual_BlackLitterman;0.004335985436801276
2016-11-28;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0008956433570433357
2016-11-29;DAX;TopMinusBottom;Annual_BlackLitterman;0.0014715893702007257
2016-11-30;DAX;TopMinusBottom;Annual_BlackLitterman;0.0009771180459916418
2016-12-01;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002342505823089017
2016-12-02;DAX;TopMinusBottom;Annual_BlackLitterman;0.0003351681977899186
2016-12-05;DAX;TopMinusBottom;Annual_BlackLitterman;4.816922147232207e-05
2016-12-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.014493906413736952
2016-12-07;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00034093934294269004
2016-12-08;DAX;TopMinusBottom;Annual_BlackLitterman;0.01901868331521121
2016-12-09;DAX;TopMinusBottom;Annual_BlackLitterman;0.005534214407571474
2016-12-12;DAX;TopMinusBottom;Annual_BlackLitterman;0.003860855567997849
2016-12-13;DAX;TopMinusBottom;Annual_BlackLitterman;0.0025992599938735473
2016-12-14;DAX;TopMinusBottom;Annual_BlackLitterman;-0.014513215898147264
2016-12-15;DAX;TopMinusBottom;Annual_BlackLitterman;0.008797788003314705
2016-12-16;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0022536559005483115
2016-12-19;DAX;TopMinusBottom;Annual_BlackLitterman;0.0059212003621621195
2016-12-20;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0005559797902363484
2016-12-21;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00557756528868942
2016-12-22;DAX;TopMinusBottom;Annual_BlackLitterman;0.0009187645685968314
2016-12-23;DAX;TopMinusBottom;Annual_BlackLitterman;-0.006330308195651052
2016-12-27;DAX;TopMinusBottom;Annual_BlackLitterman;8.022905595900503e-05
2016-12-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.012639498524274125
2016-12-29;DAX;TopMinusBottom;Annual_BlackLitterman;0.002571546968978323
2016-12-30;DAX;TopMinusBottom;Annual_BlackLitterman;0.004781495149884395
2017-01-02;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0022684975924554263
2017-01-03;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0011051289401531675
2017-01-04;DAX;TopMinusBottom;Annual_BlackLitterman;-0.009858806435039849
2017-01-05;DAX;TopMinusBottom;Annual_BlackLitterman;0.002189015286211656
2017-01-06;DAX;TopMinusBottom;Annual_BlackLitterman;0.014456280319131114
2017-01-09;DAX;TopMinusBottom;Annual_BlackLitterman;0.0005040054501917676
2017-01-10;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0012991294180503448
2017-01-11;DAX;TopMinusBottom;Annual_BlackLitterman;0.00164411989577812
2017-01-12;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0007132404983588997
2017-01-13;DAX;TopMinusBottom;Annual_BlackLitterman;0.003004668336334868
2017-01-16;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0036492002821787313
2017-01-17;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00236004142942077
2017-01-18;DAX;TopMinusBottom;Annual_BlackLitterman;0.008896603611545446
2017-01-19;DAX;TopMinusBottom;Annual_BlackLitterman;0.00798590128969776
2017-01-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.0022697038635862534
2017-01-23;DAX;TopMinusBottom;Annual_BlackLitterman;-0.009467493999413233
2017-01-24;DAX;TopMinusBottom;Annual_BlackLitterman;0.0030788673198809853
2017-01-25;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005586969453270458
2017-01-26;DAX;TopMinusBottom;Annual_BlackLitterman;0.004224710579754315
2017-01-27;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004429502743961816
2017-01-30;DAX;TopMinusBottom;Annual_BlackLitterman;0.001708251280127482
2017-01-31;DAX;TopMinusBottom;Annual_BlackLitterman;-0.007131648596056441
2017-02-01;DAX;TopMinusBottom;Annual_BlackLitterman;0.0004840392741591672
2017-02-02;DAX;TopMinusBottom;Annual_BlackLitterman;0.0036968610224791427
2017-02-03;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00419245821701778
2017-02-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0011888915445599727
2017-02-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.005826353779960117
2017-02-08;DAX;TopMinusBottom;Annual_BlackLitterman;-0.010118744423005501
2017-02-09;DAX;TopMinusBottom;Annual_BlackLitterman;0.003606466331235807
2017-02-10;DAX;TopMinusBottom;Annual_BlackLitterman;0.0036768633210966873
2017-02-13;DAX;TopMinusBottom;Annual_BlackLitterman;0.007827346253674
2017-02-14;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0012285813617891007
2017-02-15;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005189747758848069
2017-02-16;DAX;TopMinusBottom;Annual_BlackLitterman;-0.010290412187493905
2017-02-17;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00984380502150213
2017-02-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.003464827012149987
2017-02-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.008589943568765255
2017-02-22;DAX;TopMinusBottom;Annual_BlackLitterman;0.002612672391782758
2017-02-23;DAX;TopMinusBottom;Annual_BlackLitterman;0.0032859127192327335
2017-02-24;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00035295234878398966
2017-02-27;DAX;TopMinusBottom;Annual_BlackLitterman;0.015358172858751806
2017-02-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.002808066108450215
2017-03-01;DAX;TopMinusBottom;Annual_BlackLitterman;0.0032765608998895374
2017-03-02;DAX;TopMinusBottom;Annual_BlackLitterman;0.003494577718639319
2017-03-03;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00014374018921106072
2017-03-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0035650690990195522
2017-03-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.0048664579147232176
2017-03-08;DAX;TopMinusBottom;Annual_BlackLitterman;0.033149352551187325
2017-03-09;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0031947852907398327
2017-03-10;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0022095203766074323
2017-03-13;DAX;TopMinusBottom;Annual_BlackLitterman;0.002967289897291797
2017-03-14;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008212957347385516
2017-03-15;DAX;TopMinusBottom;Annual_BlackLitterman;0.011569305761532159
2017-03-16;DAX;TopMinusBottom;Annual_BlackLitterman;0.00571058108728993
2017-03-17;DAX;TopMinusBottom;Annual_BlackLitterman;-0.006064107099679193
2017-03-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.0018573336509583147
2017-03-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.0004223431903257382
2017-03-22;DAX;TopMinusBottom;Annual_BlackLitterman;0.005465629140520614
2017-03-23;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005441222083033144
2017-03-24;DAX;TopMinusBottom;Annual_BlackLitterman;0.0011146307976931265
2017-03-27;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01625132310095338
2017-03-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.008361503803387588
