Index;PortfolioSide;Strategy;Year;AnnualReturn
DAX;Top;BuyHold_MCap_MinusBenchmark;2020;-0.002539483674709131
DAX;Top;BuyHold_MCap_MinusBenchmark;2021;0.016568005124392604
DAX;Top;BuyHold_MCap_MinusBenchmark;2022;-0.01876535577782079
DAX;Top;BuyHold_MCap_MinusBenchmark;2023;0.05651004953025107
DAX;Top;BuyHold_MCap_MinusBenchmark;2024;0.0049583258969929656
DAX;TopMinusBottom;Annual_BlackLitterman;2016;0.2721578803990852
DAX;TopMinusBottom;Annual_BlackLitterman;2017;0.006539113260535023
DAX;TopMinusBottom;Annual_BlackLitterman;2018;0.01004161220326183
DAX;TopMinusBottom;Annual_BlackLitterman;2019;0.0918077295325539
DAX;TopMinusBottom;Annual_BlackLitterman;2020;-0.072001707877276
DAX;TopMinusBottom;Annual_BlackLitterman;2021;0.05692202808993896
DAX;TopMinusBottom;Annual_BlackLitterman;2022;-0.044317685603656565
DAX;TopMinusBottom;Annual_BlackLitterman;2023;-0.024600792164020446
DAX;TopMinusBottom;Annual_BlackLitterman;2024;0.0711626678786792
DAX;TopMinusBottom;Annual_Equal;2015;-0.01715052325604438
DAX;TopMinusBottom;Annual_Equal;2016;0.12515899299540023
DAX;TopMinusBottom;Annual_Equal;2017;-0.15825578827923004
DAX;TopMinusBottom;Annual_Equal;2018;-0.04322239602542355
DAX;TopMinusBottom;Annual_Equal;2019;0.16502512818014936
DAX;TopMinusBottom;Annual_Equal;2020;0.10629197943419144
DAX;TopMinusBottom;Annual_Equal;2021;0.04559818411519467
DAX;TopMinusBottom;Annual_Equal;2022;0.10160670572171782
DAX;TopMinusBottom;Annual_Equal;2023;0.06963582269345836
DAX;TopMinusBottom;Annual_Equal;2024;0.13713883106523173
DAX;TopMinusBottom;Annual_MCap;2015;-0.1111211593245306
DAX;TopMinusBottom;Annual_MCap;2016;0.08222959748833758
DAX;TopMinusBottom;Annual_MCap;2017;-0.025034241486912467
DAX;TopMinusBottom;Annual_MCap;2018;-0.057833700450571346
DAX;TopMinusBottom;Annual_MCap;2019;0.15887960514152955
DAX;TopMinusBottom;Annual_MCap;2020;0.018884632974197624
DAX;TopMinusBottom;Annual_MCap;2021;0.03563804732456499
DAX;TopMinusBottom;Annual_MCap;2022;0.0965423634376088
DAX;TopMinusBottom;Annual_MCap;2023;0.028754958182545698
DAX;TopMinusBottom;Annual_MCap;2024;0.322482135712707
DAX;TopMinusBottom;Annual_RiskParity;2016;0.1520683394853326
DAX;TopMinusBottom;Annual_RiskParity;2017;-0.12002655348289992
DAX;TopMinusBottom;Annual_RiskParity;2018;-0.046581370402710376
DAX;TopMinusBottom;Annual_RiskParity;2019;0.14374291906190506
DAX;TopMinusBottom;Annual_RiskParity;2020;0.06480235364275133
