Period;Index;PortfolioSide;Strategy;NumMonths;Alpha_Monthly;Alpha_tstat;Alpha_pvalue;Beta_Mkt;Beta_SMB;Beta_HML;R_squared;Alpha_Annualised
2015-2024;SP100;Bottom;BuyHold_Equal;120;0.035;0.25;0.8024;0.969;-0.218;0.159;0.848;0.423
2015-2024;SP100;Bottom;BuyHold_Equal_MinusBenchmark;120;-0.12;-0.902;0.3671;0.03;-0.119;-0.034;0.04;-1.442
2015-2024;SP100;Bottom;BuyHold_MCap;120;0.165;1.006;0.3145;0.967;-0.384;0.034;0.812;1.98
2015-2024;SP100;Bottom;BuyHold_MCap_MinusBenchmark;120;0.06;0.356;0.7221;-0.016;-0.17;0.102;0.077;0.724
2015-2024;SP100;Top;Annual_BlackLitterman;108;0.352;1.363;0.173;0.841;-0.378;-0.208;0.697;4.223
2015-2024;SP100;Top;Annual_BlackLitterman_MinusBenchmark;108;0.277;1.001;0.3167;-0.152;-0.163;-0.148;0.185;3.326
2015-2024;SP100;Top;Annual_Equal;120;-0.089;-0.462;0.6439;0.869;-0.143;0.242;0.786;-1.063
2015-2024;SP100;Top;Annual_Equal_MinusBenchmark;120;-0.247;-1.335;0.1817;-0.068;-0.046;0.04;0.041;-2.961
2015-2024;SP100;Top;Annual_MCap;120;0.239;1.225;0.2205;0.947;-0.41;-0.146;0.798;2.873
2015-2024;SP100;Top;Annual_MCap_MinusBenchmark;120;0.204;1.042;0.2975;-0.061;-0.166;-0.077;0.114;2.454
2015-2024;SP100;Top;Annual_RiskParity;108;-0.147;-0.721;0.4712;0.816;-0.124;0.232;0.765;-1.769
2015-2024;SP100;Top;Annual_RiskParity_MinusBenchmark;108;-0.207;-0.93;0.3521;-0.185;0.12;0.293;0.289;-2.478
2015-2024;SP100;Top;BuyHold_Equal;120;-0.026;-0.167;0.8677;0.828;-0.279;0.006;0.798;-0.309
2015-2024;SP100;Top;BuyHold_Equal_MinusBenchmark;120;-0.161;-1.001;0.3168;-0.11;-0.179;-0.191;0.299;-1.929
2015-2024;SP100;Top;BuyHold_MCap;120;0.218;1.056;0.2909;0.888;-0.424;-0.19;0.771;2.611
2015-2024;SP100;Top;BuyHold_MCap_MinusBenchmark;120;0.184;0.896;0.3701;-0.111;-0.188;-0.132;0.207;2.203
2015-2024;SP100;TopMinusBottom;Annual_BlackLitterman;108;0.267;0.715;0.4745;-0.033;-0.036;-0.517;0.229;3.206
2015-2024;SP100;TopMinusBottom;Annual_Equal;120;-0.291;-1.253;0.2102;-0.107;0.061;0.041;0.025;-3.487
2015-2024;SP100;TopMinusBottom;Annual_MCap;120;0.067;0.25;0.8027;-0.051;-0.051;-0.263;0.098;0.8
2015-2024;SP100;TopMinusBottom;Annual_RiskParity;108;-0.232;-0.922;0.3564;-0.151;0.127;0.01;0.046;-2.783
2015-2024;SP100;TopMinusBottom;BuyHold_Equal;120;-0.192;-0.928;0.3535;-0.141;-0.052;-0.152;0.126;-2.306
2015-2024;SP100;TopMinusBottom;BuyHold_MCap;120;-0.064;-0.245;0.8064;-0.086;-0.028;-0.227;0.09;-0.773
2020-2024;DAX;Bottom;Annual_BlackLitterman;60;-0.231;-0.681;0.4959;0.615;-0.064;0.036;0.565;-2.767
2020-2024;DAX;Bottom;Annual_BlackLitterman_MinusBenchmark;60;-0.671;-1.884;0.0596;-0.253;0.161;-0.099;0.212;-8.058
