Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2021;BEIERSDORF ORD;DE0005200000;23798880000;66.982;B+;Consumer Non-Cyclicals
01.01.2021;HEIDELBGCEMENT ORD;DE0006047004;12147056722;81.1199;A-;Basic Materials
01.01.2021;MTU AERO ENGINES ORD;DE000A0D9PT0;11330577139;82.1622;A-;Industrials
01.01.2021;FRESENIUS MEDICAL CARE ORD;DE0005785802;19974182074;83.1561;A-;Healthcare
01.01.2021;FRESENIUS SE ORD;DE0005785604;21097347997;82.6721;A-;Healthcare
01.01.2021;DEUTSCHE POST ORD;DE0005552004;50181906065;84.5644;A;Industrials
01.01.2021;ALLIANZ SE ORD;DE0008404005;82747230790;93.2874;A+;Financials
01.01.2021;MUNICH RE ORD;DE0008430026;34016020447;88.6884;A;Financials
01.01.2021;CONTINENTAL ORD;DE0005439004;16485736356;77.7577;A-;Consumer Cyclicals
01.01.2021;ADIDAS ORD;DE000A1EWWW0;59703981809;88.4878;A;Consumer Cyclicals
01.01.2021;DELIVERY HERO AG ORD;DE000A2E4K43;25320997745;81.7015;A-;Technology
01.01.2021;DAIMLER ORD;DE0007100000;51782226107;93.1177;A+;Consumer Cyclicals
01.01.2021;VONOVIA SE;DE000A1ML7J1;33817413946;85.9634;A;Real Estate
01.01.2021;DEUTSCHE BOERSE AG ORD;DE0005810055;26457500000;74.5788;B+;Financials
01.01.2022;BASF SE ORD;DE000BASF111;56743613715;90.7225;A;Basic Materials
01.01.2022;INFINEON TECHNOLOGIES ORD;DE0006231004;53229345544;81.0494;A-;Technology
01.01.2022;SIEMENS ORD;DE0007236101;1.30E+11;85.8971;A;Industrials
01.01.2022;E.ON ORD;DE000ENAG999;32202958810;67.6836;B+;Utilities
01.01.2022;DEUTSCHE BANK ORD;DE0005140008;22771706357;81.0532;A-;Financials
01.01.2022;SARTORIUS PRF;DE0007165631;40966848000;80.8149;A-;Healthcare
01.01.2022;SAP SE ORD;DE0007164600;1.53E+11;93.7388;A+;Technology
01.01.2022;BAYER AG;DE000BAY0017;46173931854;92.7449;A+;Healthcare
01.01.2022;RWE ST A ORD;DE0007037129;24154580115;68.3555;B+;Utilities
01.01.2022;COVESTRO ORD;DE0006062144;10440528000;78.0716;A-;Basic Materials
01.01.2022;HENKEL& KGAA PRF;DE0006048432;30522483540;82.1815;A-;Basic Materials
01.01.2022;ZALANDO ORD SHS;DE000ZAL1111;18639479258;70.736;B+;Technology
01.01.2022;DEUTSCHE TELEKOM AG ORD;DE0005557508;81279275115;86.4699;A;Technology
01.01.2022;LINDE PLC ORD;IE000S9YS762;1.56E+11;89.1148;A;Basic Materials
01.01.2022;MERCK ORD;DE0006599905;98694578306;86.5125;A;Healthcare
01.01.2022;PORSCHE SE VZ PRF;DE000PAH0038;25553500000;9.0379;D;Consumer Cyclicals
01.01.2022;VOLKSWAGEN PRF;DE0007664039;1.13E+11;81.7133;A-;Consumer Cyclicals
01.01.2022;BMW AG;DE0005190003;57499180877;89.7912;A;Consumer Cyclicals
01.01.2022;BEIERSDORF ORD;DE0005200000;22775760000;68.91;B+;Consumer Non-Cyclicals
01.01.2022;HEIDELBGCEMENT ORD;DE0006047004;11809748711;82.4856;A-;Basic Materials
01.01.2022;MTU AERO ENGINES ORD;DE000A0D9PT0;9586427011;86.6536;A;Industrials
01.01.2022;FRESENIUS MEDICAL CARE ORD;DE0005785802;16742267930;86.1184;A;Healthcare
01.01.2022;HELLOFRESH SEORD;DE000A161408;11748061456;66.604;B;Consumer Non-Cyclicals
01.01.2022;FRESENIUS SE ORD;DE0005785604;19770975862;78.5147;A-;Healthcare
01.01.2022;DEUTSCHE POST ORD;DE0005552004;70056418985;82.6443;A-;Industrials
01.01.2022;ALLIANZ SE ORD;DE0008404005;84816277328;91.0608;A;Financials
01.01.2022;MUNICH RE ORD;DE0008430026;36495771526;84.2687;A;Financials
01.01.2022;CONTINENTAL ORD;DE0005439004;14157016894;74.8853;B+;Consumer Cyclicals
01.01.2022;SIEMENS HEALTHINEERS AG ORD;DE000SHL1006;74244960000;74.5668;B+;Healthcare
01.01.2022;SYMRISE ORD;DE000SYM9999;18212298636;76.3948;A-;Basic Materials
01.01.2022;ADIDAS ORD;DE000A1EWWW0;48639720000;89.8495;A;Consumer Cyclicals
01.01.2022;DELIVERY HERO AG ORD;DE000A2E4K43;24596288822;79.4574;A-;Technology
01.01.2022;SIEMENS ENERGY AG ORD;DE000ENER6Y0;16342250391;78.0931;A-;Energy
01.01.2022;DAIMLER AG ORD;DE0007100000;72310313043;91.7857;A+;Consumer Cyclicals
01.01.2022;BRENNTAG ORD;DE000A1DAHH0;12295110000;56.1129;B-;Basic Materials
01.01.2022;AIRBUS SE;NL0000235190;87141239852;85.8534;A;Industrials
01.01.2022;VONOVIA SE;DE000A1ML7J1;37664973367;84.7159;A;Real Estate
01.01.2022;DEUTSCHE BOERSE AG ORD;DE0005810055;27949000000;75.9843;A-;Financials
01.01.2022;PUMA SE ORD;DE0006969603;16213648800;82.7387;A-;Consumer Cyclicals
01.01.2022;QIAGEN ORD;NL0015002SN0;10476641635;79.2713;A-;Healthcare
Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2023;BASF SE ORD;DE000BASF111;41465930156;90.1569;A;Basic Materials
01.01.2023;INFINEON TECHNOLOGIES ORD;DE0006231004;37127337925;80.1661;A-;Technology
01.01.2023;SIEMENS ORD;DE0007236101;1.10E+11;84.9171;A;Industrials
01.01.2023;E.ON ORD;DE000ENAG999;24654069679;65.3219;B;Utilities
01.01.2023;DEUTSCHE BANK ORD;DE0005140008;21882993911;82.1562;A-;Financials
01.01.2023;SARTORIUS PRF;DE0007165631;26354016000;83.4932;A;Healthcare
01.01.2023;SAP SE ORD;DE0007164600;1.18E+11;89.5104;A;Technology
